"authorID","AU","AF","groupID","match_name","similarity","author_order","university","department","postal_code","country","address","RP_address","RI","OI","EM","UT","refID","PT","PY","PU"
179,"Salazar, D","Salazar, Diego",296,"Salazar, Diego",1,2,"Univ Missouri","One Univ Blvd","63121","USA","Univ Missouri, Dept Biol, One Univ Blvd, St Louis, MO 63121 USA.",NA,NA,NA,NA,"WOS:000387228200006
",41,"J
","2016","WILEY
"
296,"Salazar, D","Salazar, Diego",296,"Salazar, Diego",1,1,"Univ Calif Berkeley","1005 Valley Life Sci Bldg 3140","94720","USA","Univ Calif Berkeley, Dept Integrat Biol, 1005 Valley Life Sci Bldg 3140, Berkeley, CA 94720 USA.","Univ Missouri, Dept Biol, 8001 Nat Bridge Rd, St Louis, MO 63121 USA.",NA,NA,NA,"WOS:000387228200027
",62,"J
","2016","WILEY
"
549,"Hooper, D","Hooper, David",659,"Hooper, David U.",0.952564102564103,4,"Univ Montana","Dept Anthropol","59812","USA","Univ Montana, Dept Anthropol, Missoula, MT 59812 USA.",NA,NA,NA,NA,"WOS:000382527100019
",119,"J
","2016","WILEY
"
659,"Hooper, DU","Hooper, David U.",659,"Hooper, David",0.952564102564103,7,"Western Washington Univ","Dept Biol","98225","USA","Western Washington Univ, Dept Biol, Bellingham, WA 98225 USA.",NA,NA,NA,NA,"WOS:000380749600007
",142,"J
","2016","WILEY-BLACKWELL
"
370,"Arsovski, D","Arsovski, Dragan",1099,"Arsovski, Dragan",1,3,"Univ Montpellier","PSL Res Univ","F-34293","France","Univ Montpellier, PSL Res Univ, Univ Paul Valery Montpellier, CEFE UMR 5175,CNRS,EPHE,Lab Biogeog & Ecol Verteb, 1919 Route Mende, F-34293 Montpellier, France.",NA,NA,NA,NA,"WOS:000386088000013
",80,"J
","2016","WILEY
"
1099,"Arsovski, D","Arsovski, Dragan",1099,"Arsovski, Dragan",1,2,"PSL Res Univ","UM","F-34293","France","PSL Res Univ, UM, SupAgro, EPHE,CNRS,INRA,IRD,UMR CEFE 5175, F-34293 Montpellier, France.",NA,NA,NA,NA,"WOS:000373923100017
",249,"J
","2016","WILEY
"
372,"Besnard, A","Besnard, Aurelien",1100,"Besnard, Aurelien",1,10,"Univ Montpellier","PSL Res Univ","F-34293","France","Univ Montpellier, PSL Res Univ, Univ Paul Valery Montpellier, CEFE UMR 5175,CNRS,EPHE,Lab Biogeog & Ecol Verteb, 1919 Route Mende, F-34293 Montpellier, France.",NA,NA,NA,NA,"WOS:000386088000013
",80,"J
","2016","WILEY
"
1100,"Besnard, A","Besnard, Aurelien",1100,"Besnard, Aurelien",1,10,"PSL Res Univ","UM","F-34293","France","PSL Res Univ, UM, SupAgro, EPHE,CNRS,INRA,IRD,UMR CEFE 5175, F-34293 Montpellier, France.",NA,NA,NA,NA,"WOS:000373923100017
",249,"J
","2016","WILEY
"
1493,"Besnard, A","Besnard, Aurelien",1100,"Besnard, Aurelien",1,4,"Univ Montpellier 3","CNRS","F-34293","France","Univ Montpellier 3, CNRS, CEFE UMR 5175, EPHE,Lab Biogeog & Ecol Vertebres, 1919 Route Mende, F-34293 Montpellier 5, France.","Univ Montpellier 3, CNRS, CEFE UMR 5175, EPHE,Lab Biogeog & Ecol Vertebres, 1919 Route Mende, F-34293 Montpellier 5, France.",NA,NA,NA,"WOS:000369852600022
",332,"J
","2016","WILEY-BLACKWELL
"
375,"Cayuela, H","Cayuela, Hugo",1104,"Cayuela, Hugo",1,1,"Lab Ecol Hydrosyst Nat & Anthropises","UMR LEHNA 5023","F-69100","France","Lab Ecol Hydrosyst Nat & Anthropises, UMR LEHNA 5023, F-69100 Villeurbanne, France.","Univ Montpellier, PSL Res Univ, Univ Paul Valery Montpellier, CEFE UMR 5175,CNRS,EPHE,Lab Biogeog & Ecol Verteb, 1919 Route Mende, F-34293 Montpellier, France.",NA,NA,NA,"WOS:000386088000013
",80,"J
","2016","WILEY
"
